"%1 Catalog Price Rules based on ""%2"" attribute have been disabled.","La règle de prix catalogue %1 basée sur l'attribut ""%2"" a été désactivée.",custom,Imaginaerum
"There are no items in customer's shopping cart at the moment","Aucun article dans le panier du client",custom,Imaginaerum
"There are no items in customer's wishlist at the moment","Aucun article dans la liste d'envies du client",custom,Imaginaerum
"There are no products matching the selection.","Aucun produit ne correspond à la sélection",custom,Imaginaerum
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Certaines règles ont changé mais n'ont pas pu être appliquées. Cliquez sur 'Appliquer les règles' afin d'en voir le résultat immédiat.",custom,Imaginaerum
"There is already a registered customer using this email address. Please log in using this email address or enter a different email address to register your account.","Il existe déjà un client avec cette adresse email. Veuillez vous connecter avec cette adresse email ou saisir une adresse email différente pour créer votre compte .",custom,Imaginaerum
"There is no need to deny this payment.","Il n'est pas nécessaire de refuser ce paiement.",custom,Imaginaerum
"The review summary field can't be empty.","Le résumé de l'avis ne peut être vide.",custom,Imaginaerum
"There was an error canceling transactions. Please contact us or try again later.","Erreur lors de l'annulation de transactions. Veuillez nous contacter ou réessayez ultérieurement.",custom,Imaginaerum
"There was an error validating the VAT ID.","Erreur lors de la validation du numéro de TVA.",custom,Imaginaerum
"The rule has been deleted.","La règle a été supprimée.",custom,Imaginaerum
"The rule has been saved.","La règle a été sauvegardée.",custom,Imaginaerum
"The rules have been applied.","Les règles ont bien été appliquées.",custom,Imaginaerum
"The selected backup(s) has been deleted.","Les sauvegardes sélectionnées ont été effacées.",custom,Imaginaerum
"The sender name cannot be empty.","Le nom de l'expéditeur ne peut pas être vide.",custom,Imaginaerum
"The sitemap has been deleted.","Le plan de site a bien été effacé.",custom,Imaginaerum
"The sitemap has been saved.","Le plan de site a bien été enregistrée.",custom,Imaginaerum
"The store has been deleted.","Le magasin a été supprimé.",custom,Imaginaerum
"The store has been saved.","Le magasin a été sauvegardé.",custom,Imaginaerum
"The store view has been deleted.","La vue magasin a été supprimée.",custom,Imaginaerum
"The store view has been saved","La vue magasin a été sauvegardée.",custom,Imaginaerum
"The system backup has been created.","La sauvegarde du système a été créée.",custom,Imaginaerum
"The tax rate has been deleted.","Le taux de taxe a été supprimé.",custom,Imaginaerum
"The tax rate has been saved.","Le taux de taxe a été sauvegardé.",custom,Imaginaerum
"The tax rule has been saved.","La règle de taxe a été sauvegardée.",custom,Imaginaerum
"The TAX/VAT number is required.","Le numéro de TVA est obligatoire.",custom,Imaginaerum
"The template Name must not be empty.","Le nom du gabarit ne doit pas être vide.",custom,Imaginaerum
"The URL Rewrite has been deleted.","La réécriture d'URL a été effacée.",custom,Imaginaerum
"The user name cannot be empty.","Le nom de l'utilisateur ne peut être vide.",custom,Imaginaerum
"The website has been deleted.","Le site web a été supprimé.",custom,Imaginaerum
"The website has been saved.","Le site web a été sauvegardé.",custom,Imaginaerum
"This account is locked.","Ce compte est bloqué",custom,Imaginaerum
"This attribute cannot be deleted.","Cet attribut ne peut pas être supprimé.",custom,Imaginaerum
"This date is a required value.","Cette date est obligatoire.",custom,Imaginaerum
"This email will be sent instead of default welcome email, after account confirmation.","Cet email sera envoyé à la place de l'email de bienvenue, après la confirmation de création du compte.",custom,Imaginaerum
"This operation requires an existing transaction object.","Cette opération nécessite l'existance d'une transaction.",custom,Imaginaerum
"This refund is for a partial amount but the Transaction has not settled. ","Ce remboursement est pour un montant partiel, mais la transaction n'est pas établie. ",custom,Imaginaerum
"This section is not allowed.","Cette section n'est pas autorisée.",custom,Imaginaerum
"This tab contains invalid data. Please solve the problem before saving.","Cet onglet contient des données non valides. Veuillez résoudre le problème avant de sauvegarder.",custom,Imaginaerum
"Tier Price","Prix par quantité",custom,Imaginaerum
"To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel.","Pour annuler les autorisations en cours et libérer les montants déjà prélevés pendant ce processus, cliquez sur Annuler.",custom,Imaginaerum
"To Date","Date de fin",custom,Imaginaerum
"To Fixed Amount","Nouveau prix en montant fixe",custom,Imaginaerum
"Token is invalid.","Jeton Invalide",custom,Imaginaerum
"Top 5 Search Terms","5 termes les plus recherchés",custom,Imaginaerum
"To Percentage of the Original Price","Pourcentage du prix original",custom,Imaginaerum
"To proceed to Checkout, please log in using your email address.","Pour continuer la commande, veuillez vous connecter en utilisant votre email.",custom,Imaginaerum
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","Pour afficher le numéro de TVA dans le frontend, réglez l'option d'affichage du numéro de TVA dans le frontend à Oui.",custom,Imaginaerum
"Total %1 records found","%1 enregistrements trouvés",custom,Imaginaerum
"Total incl. tax","Total TTC",custom,Imaginaerum
"Transaction type is required.","Type de transaction requis.",custom,Imaginaerum
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Les caches de traduction, de blocs et autres sorties doivent être désactivés pour utiliser la traduction en ligne.",custom,Imaginaerum
"translation to the same value","traduction de la même valeur",custom,Imaginaerum
"Try another card","Veuillez essayer une autre carte",custom,Imaginaerum
"Two and more slashes together are not permitted in request path","Il n'est pas autorisé d'utiliser 2 slashes ou plus à la suite dans le chemin de requête.",custom,Imaginaerum
"Unable to apply rules.","Impossible d'appliquer les règles.",custom,Imaginaerum
"Unable to find a rule to delete.","Impossible de trouver la règle à supprimer.",custom,Imaginaerum
"Unable to proceed. Please, try again.","Impossible de continuer. Veuillez réessayer ultérieurement.",custom,Imaginaerum
"Unable to proceed. Please, try again","Impossible de continuer. Veuillez réessayer ultérieurement.",custom,Imaginaerum
"Unable to send password reset email.","Impossible d'envoyer l'email de réinitialisation du mot de passe",custom,Imaginaerum
"Unit Price Excl. Tax","Prix Unitaire HT",custom,Imaginaerum
"Unit Price Incl. Tax","Prix Unitaire TTC",custom,Imaginaerum
"unverified","non vérifié",custom,Imaginaerum
"Update Items and Qty's","Mettre à jour les articles et quantités",custom,Imaginaerum
"Update Prices Using the Following Information","Mettre à jour les prix en utilisant l'information suivante",custom,Imaginaerum
"Update prices using the following information","Mettre à jour les prix en utilisant l'information suivante",custom,Imaginaerum
"Update Total","Mettre à jour le total",custom,Imaginaerum
"Uploaded file has no extension","Le fichier uploadé n'a pas d'extension",custom,Imaginaerum
"Upload HTTP Error","Erreur HTTP de téléchargement",custom,Imaginaerum
"Upload I/O Error","Erreur entrée/Sortie de téléchargement",custom,Imaginaerum
"Upload Security Error","Erreur de sécurité de téléchargement",custom,Imaginaerum
"Use Billing Address","Utiliser l'adresse de facturation",custom,Imaginaerum
"Used as Default For","Utilisé par défaut pour",custom,Imaginaerum
"Used Currently For","Utilisé actuellement pour",custom,Imaginaerum
"Use in Advanced Search","Utiliser dans la recherche avancée",custom,Imaginaerum
"Use In Layered Navigation","Utiliser dans la navigation par filtres",custom,Imaginaerum
"Use in Quick Search","Utiliser dans la recherche rapide",custom,Imaginaerum
"Use In Search Results Layered Navigation","Utiliser dans la navigation par filtres des résultats de recherche",custom,Imaginaerum
"Use Parent Category Settings","Utiliser les réglages de la catégorie parente",custom,Imaginaerum
"User Content","Contenus des Utilisateurs",custom,Imaginaerum
"User Name:","Nom d'utilisateur :",custom,Imaginaerum
"User Roles","Rôles utilisateurs",custom,Imaginaerum
"Use Secure URLs in Frontend","Utiliser des URLs sécurisées pour le front office (mon compte et passage de commande)",custom,Imaginaerum
"Use SID on Frontend","Utiliser un SID dans le front office",custom,Imaginaerum
"Uses store frontend name by default.","Utiliser le nom du magasin par défaut.",custom,Imaginaerum
"Use To Create Configurable Product","Utiliser pour créer un produit configurable",custom,Imaginaerum
"UTF-8 is the only supported charset.","Seul UTF-8 est supporté",custom,Imaginaerum
"'%value%' appears to be an IP address, but IP addresses are not allowed.","'%value%' semble être une adresse IP, mais les adresses IP ne sont pas autorisées.",custom,Imaginaerum
"Variation Label","Libellé Variation",custom,Imaginaerum
"Variations","Variations",custom,Imaginaerum
"VAT number","Numéro de TVA",custom,Imaginaerum
"VAT Number is Invalid","Le numéro de TVA est invalide",custom,Imaginaerum
"VAT Number is Valid","Le numéro de TVA est valide",custom,Imaginaerum
"(ver. %1)","(ver. %1)",custom,Imaginaerum
"verified","vérifié",custom,Imaginaerum
"View All Reviews","Voir tous les commentaires",custom,Imaginaerum
"View cart","Voir le Panier",custom,Imaginaerum
"View Details","Voir les détails",custom,Imaginaerum
"Viewed","Vu",custom,Imaginaerum
"Visible In","Visible dans",custom,Imaginaerum
"Visible on Frontend","Visible sur le site coté client",custom,Imaginaerum
"Visitors Only","Visiteurs seulement",custom,Imaginaerum
"Void action is not available.","L'action 'annuler' n'est pas disponible.",custom,Imaginaerum
"Warning!","Attention!",custom,Imaginaerum
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Le code de site web ne doit contenir que des lettres (a-z), des chiffres (0-9) ou underscore (_). Le premier caractère doit être une lettre.",custom,Imaginaerum
"Website is not specified","Site web non spécifié",custom,Imaginaerum
"Website Payments Standard","PayPal Standard",custom,Imaginaerum
"Website Payments Standard Payment","Paiement PayPal Standard",custom,Imaginaerum
"Websites must be specified.","Les sites web doivent être spécifiés.",custom,Imaginaerum
"We cannot detect a size.","Détection de taille impossible.",custom,Imaginaerum
"We cannot retrieve the wish list.","Impossible de retrouver la liste d'envies.",custom,Imaginaerum
"We cannot upload the file.","Upload du fichier impossible.",custom,Imaginaerum
"We can't update wish list.","Impossible de mettre à jour la liste d'envies.",custom,Imaginaerum
"Welcome","Bienvenue",custom,Imaginaerum
"Widget Instance","Instance de widget",custom,Imaginaerum
"Widget Instance Title","Titre de l'instance de widget",custom,Imaginaerum
"Will appear as a payment option only for customers who have at least one active billing agreement.","Apparaît comme une option de paiement uniquement pour les clients qui ont au moins un accord de facturation actif.",custom,Imaginaerum
"Wishlist - %1 item(s)","Liste d'envies - %1 article(s)",custom,Imaginaerum
"Wishlist","Liste d'envies",custom,Imaginaerum
"Wish List could not be created.","La liste d'envies n'a pas été crée.",custom,Imaginaerum
"Wrong transactional account email type","Le type d'email de compte transactionnel est erroné",custom,Imaginaerum
"You are currently not subscribed to any newsletter.","Vous n'êtes abonné à aucune newsletter.",custom,Imaginaerum
"You are currently not subscribed to our newsletter.","Vous n'êtes pas abonné(e) à notre newsletter",custom,Imaginaerum
"You are currently subscribed to 'General Subscription'.","Vous êtes abonné à 'Abonnement général'",custom,Imaginaerum
"You are now logged out","Vous vous êtes déconnecté(e).",custom,Imaginaerum
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Vous recevez cette alerte car vous avez demandé à être alerté quand les produits suivants sont de nouveau disponibles :",custom,Imaginaerum
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Vous recevez cette alerte car vous avez demandé à être alerté quand les produits suivants sont modifiés :",custom,Imaginaerum
"You can buy this product only in increments of %1.","Vous ne pouvez acheter ce produit que par quantité de %1.",custom,Imaginaerum
"You can leave this box blank if you do not wish to add a gift message for the item.","Laissez vide si vous ne souhaitez pas ajouter de message cadeau pour l'article.",custom,Imaginaerum
"You can leave this box blank if you do not wish to add a gift message for this address.","Laissez vide si vous ne souhaitez pas ajouter de message cadeau pour cette adresse.",custom,Imaginaerum
"You have been unsubscribed.","Vous n'êtes plus inscrit(e) à la newsletter.",custom,Imaginaerum
"You have logged out and will be redirected to our homepage in 5 seconds.","Vous vous êtes déconnecté(e) et vous serez redirigé(e) vers la page d'accueil dans 5 secondes.",custom,Imaginaerum
"You have no additional address entries in your address book.","Vous n'avez pas d'entrées supplémentaires dans votre carnet d'adresses.",custom,Imaginaerum
"You may also be interested in the following product(s)","Vous pourriez également être intéressé par le(s) produit(s) suivant(s)",custom,Imaginaerum
"You need to specify order items.","Vous devez spécifier les articles de la commande.",custom,Imaginaerum
"Your Checkout Progress","Avancement de votre commande",custom,Imaginaerum
"Your design change for the specified store intersects with another one, please specify another date range.","Votre changement de design pour le magasin spécifié interfère avec un autre. Spécifiez une autre tranche de dates.",custom,Imaginaerum
"Your order cannot be completed at this time as there is no payment methods available for it.","Vous ne pouvez pas continuer votre commande car aucun mode de paiement n'est disponible.",custom,Imaginaerum
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Vous ne pouvez pas continuer votre commande car aucun mode de livraison n'est disponible pour votre adresse.",custom,Imaginaerum
"Your order has been received.","Votre commande a bien été reçue.",custom,Imaginaerum
"Your order # is: %1.","ID de votre commande: %1.",custom,Imaginaerum
"Your order number is ","Votre numéro de commande est ",custom,Imaginaerum
"Your password has been updated.","Votre mot de passe a été mis à jour.",custom,Imaginaerum
"Your Rating:","Votre note :",custom,Imaginaerum
"Your review has been accepted for moderation.","Votre commentaire a été accepté pour modération.",custom,Imaginaerum
"Your Review (submitted on %1):","Votre avis (soumis sur %1):",custom,Imaginaerum
"Your search returns no results.","Aucun résultat pour votre recherche.",custom,Imaginaerum
"Your web server is configured incorrectly. As a result, configuration files with sensitive information are accessible from the outside. Please contact your hosting provider.","Votre serveur web est mal configuré. Les fichiers de configuration comportant des informations sensibles sont accessibles de l'extérieur. Consultez votre hébergeur.",custom,Imaginaerum
"YouTube API key","Clé API YouTube",custom,Imaginaerum
"Youtube or Vimeo supported","Youtube ou Vimeo supportés",custom,Imaginaerum
"You will be redirected to the PayPal website in a few seconds.","Vous serez redirigé vers le site de PayPal dans quelques secondes.",custom,Imaginaerum
"You will have to log in after you save your custom admin path.","Vous devrez vous reconnecter après avoir enregistré le chemin personnalisé.",custom,Imaginaerum
"You will receive an order confirmation email with details of your order and a link to track its progress.","Vous allez recevoir un mail de confirmation avec les détails de votre commande ainsi qu'un lien pour suivre son avancement.",custom,Imaginaerum
"YYYY","AAAA",custom,Imaginaerum
