"%1","%1",module,Magento_Sales
"Child Transactions","Transactions filles",module,Magento_Sales
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","Choisissez si l'adresse IP du client est affichée sur les commandes, factures, livraisons, et avoirs.",module,Magento_Sales
"City","Ville",module,Magento_Sales
"Clear Shopping Cart","Vider le panier",module,Magento_Sales
"Click to change shipping method","Cliquer pour changer le mode de livraison",module,Magento_Sales
"Close","Fermer",module,Magento_Sales
"Closed","Fermée",module,Magento_Sales
"Comma-separated","Séparées par des virgules",module,Magento_Sales
"Comment: %1<br/>","Commentaire: %1<br/>",module,Magento_Sales
"Comment","Commentaire",module,Magento_Sales
"Comment added","Commentaire ajouté",module,Magento_Sales
"Comments History","Historique de commentaires",module,Magento_Sales
"Comment Text","Texte du commentaire",module,Magento_Sales
"Comment text cannot be empty.","Le commentaire ne peut être vide.",module,Magento_Sales
"Company","Société",module,Magento_Sales
"Complete","Terminée",module,Magento_Sales
"Configure","Configurer",module,Magento_Sales
"Configure and Add to Order","Configurer et ajouter à la commande",module,Magento_Sales
"Continue","Continuer",module,Magento_Sales
"Could not cancel creditmemo","Impossible d'annuler l'avoir",module,Magento_Sales
"Could not delete credit memo","Impossible de supprimer l'avoir",module,Magento_Sales
"Could not delete order address","Impossible de supprimer l'adresse de la commande",module,Magento_Sales
"Could not delete shipment","Impossible de supprimer l'expédition",module,Magento_Sales
"Could not save credit memo","Impossible de sauvegarder l'avoir",module,Magento_Sales
"Could not save order address","Impossible de sauvegarder l'adresse de la commande",module,Magento_Sales
"Could not save shipment","Impossible de sauvegarder l'expédition",module,Magento_Sales
"Country","Pays",module,Magento_Sales
"Coupons","Bons de Réduction",module,Magento_Sales
"Created","Créé",module,Magento_Sales
"Created At","Créé Le",module,Magento_Sales
"Create New Customer","Créer un nouveau client",module,Magento_Sales
"Create New Order","Créer une nouvelle commande",module,Magento_Sales
"Create New Order for %1","Créer une nouvelle commande pour %1",module,Magento_Sales
"Create New Order for %1 in %2","Créer une nouvelle commande pour %1 dans %2",module,Magento_Sales
"Create New Order for New Customer","Créer une nouvelle commande pour un nouveau client",module,Magento_Sales
"Create New Order for New Customer in %1","Créer une nouvelle commande pour un nouveau client dans %1",module,Magento_Sales
"Create New Order Status","Créer un nouveau statut de commande",module,Magento_Sales
"Create New Status","Créer un Statut",module,Magento_Sales
"Create Shipment","Créer la Livraison",module,Magento_Sales
"Credit memo #%1 comment added","Commentaire ajouté pour l'avoir #%1",module,Magento_Sales
"Credit memo #%1 created","Avoir #%1 créé",module,Magento_Sales
"Credit Memo #%1 | %3 | %2 (%4)","Avoir #%1 | %3 | %2 (%4)",module,Magento_Sales
"Credit Memo","Avoir",module,Magento_Sales
"Credit Memo # ","Avoir # ",module,Magento_Sales
"Credit Memo Comment Email Sender","Expéditeur du mail de commentaire d'avoir",module,Magento_Sales
"Credit Memo Comment Email Template","Gabarit de mail de commentaire d'avoir pour un invité",module,Magento_Sales
"Credit Memo Comment Email Template for Guest","Gabarit de mail de commentaire d'avoir pour un invité",module,Magento_Sales
"Credit Memo Comments","Commentaires d'avoir",module,Magento_Sales
"Credit Memo Email Sender","Expéditeur du mail d'avoir",module,Magento_Sales
"Credit Memo Email Template","Gabarit de mail d'avoir",module,Magento_Sales
"Credit Memo Email Template for Guest","Gabarit de mail d'avoir pour un invité",module,Magento_Sales
"Credit memo has not been canceled.","L'avoir n'a pas été annulé.",module,Magento_Sales
"Credit Memo History","Historique de l'avoir",module,Magento_Sales
"Credit Memos","Avoirs",module,Magento_Sales
"Credit memo's total must be positive.","Le total de l'avoir doit être positif.",module,Magento_Sales
"Credit Memo Totals","Total des avoirs",module,Magento_Sales
"CSV","CSV",module,Magento_Sales
"Current Status: %1<br/>","Statut actuel: %1<br/>",module,Magento_Sales
"Customer","Client",module,Magento_Sales
"Customer Email","Email du Client",module,Magento_Sales
"Customer Group","Groupe de clients",module,Magento_Sales
"Customer Name: %1","Nom du client : %1",module,Magento_Sales
"Customer Name","Nom du client",module,Magento_Sales
"%customer_name,","%customer_name,",module,Magento_Sales
"Customer Order Status Notification","Notification de statut de commande client",module,Magento_Sales
"Customer's Activities","Activités client",module,Magento_Sales
"Custom Price","Prix personnalisé",module,Magento_Sales
"Dashboard","Tableau de bord",module,Magento_Sales
"Date","Date",module,Magento_Sales
"Default Status","Statut par défaut",module,Magento_Sales
"Default Template","Gabarit par défaut",module,Magento_Sales
" [deleted]","   [effacé]",module,Magento_Sales
"Denied the payment online","Paiement en ligne refusé",module,Magento_Sales
"Deny Payment","Refuser de paiement",module,Magento_Sales
"Description Message","Message de description",module,Magento_Sales
"Details for %1 #%2","Détails pour %1 #%2",module,Magento_Sales
"Discount (%1)","Remise (%1)",module,Magento_Sales
"Discount","Remise",module,Magento_Sales
"Discount Amount","Montant de la Remise",module,Magento_Sales
"Display Order ID in Header","Afficher l'identifiant de commande dans l'en-tête",module,Magento_Sales
"Edit","Éditer",module,Magento_Sales
"Edit Order #%1","Modifier la commande #%1",module,Magento_Sales
"Edit Order %1 %2 Address","Modifier l'adresse de la commande #%1 %2",module,Magento_Sales
"Edit Order","Éditer la commande",module,Magento_Sales
"Edit Order Status","Éditer le statut de commande",module,Magento_Sales
"Email","Email",module,Magento_Sales
"Email Address","Adresse Email",module,Magento_Sales
"Email Copy of Credit Memo","Envoyer une copie de l'avoir par mail",module,Magento_Sales
"Email Copy of Invoice","Envoyer une copie de la facture par mail",module,Magento_Sales
"Email has not been sent","L'email n'a pas été envoyé",module,Magento_Sales
"Email Order Confirmation","Envoyer la confirmation de commande par mail",module,Magento_Sales
"Email template chosen based on theme fallback when ""Default"" option is selected.","Le template d'email choisi est basé sur le thème parent lorsque l'option ""Défaut"" est sélectionnée.",module,Magento_Sales
"Enable","Activer",module,Magento_Sales
"Enabled","Activé",module,Magento_Sales
"* - Enter custom price excluding tax","* - Saisissez le prix hors taxe",module,Magento_Sales
"* - Enter custom price including tax","* - Saisissez le prix toutes taxes comprises",module,Magento_Sales
"Error to Show in Shopping Cart","Erreur lors de l'affichage dans le panier",module,Magento_Sales
"Excel XML","XML Excel",module,Magento_Sales
"Exception occurred during order load","Une exception est survenue lors du chargement de la commande",module,Magento_Sales
"Excl. Tax","HT",module,Magento_Sales
"Fetch","Rapporter",module,Magento_Sales
"Find Order By","Chercher une commande par",module,Magento_Sales
"Find Order By:","Chercher une commande par:",module,Magento_Sales
"First Name","Prénom",module,Magento_Sales
"From:","De:",module,Magento_Sales
"From","De",module,Magento_Sales
"From Name","De la part de",module,Magento_Sales
"General","Général",module,Magento_Sales
"Get Payment Update","Obtenir la mise à jour de paiement",module,Magento_Sales
"Get shipping methods and rates","Récupérer les modes de livraison et les taux",module,Magento_Sales
"Gift Message","Message Cadeau",module,Magento_Sales
"Gift Message for the Entire Order","Message cadeau pour toute la commande",module,Magento_Sales
"Gift Message for this Order","Message cadeau pour cette commande",module,Magento_Sales
"Gift Message for This Order","Message cadeau pour cette commande",module,Magento_Sales
"Gift Options","Options Cadeau",module,Magento_Sales
"Gift Options for ","Options cadeau pour ",module,Magento_Sales
"Go to Home Page","Aller à la page d'accueil",module,Magento_Sales
"Grand Total","Montant Total",module,Magento_Sales
"Grand Total (Base)","Total (Devise de base)",module,Magento_Sales
"Grand Total Excl. Tax","Total HT",module,Magento_Sales
"Grand Total Incl. Tax","Total TTC",module,Magento_Sales
"Grand Total (Purchased)","Total (Commandé)",module,Magento_Sales
"Grand Total to be Charged","Total à facturer",module,Magento_Sales
"Grid Settings","Paramètres de la Grille",module,Magento_Sales
"Group was removed","Groupe supprimé",module,Magento_Sales
"Guest","Invité",module,Magento_Sales
"Hide Customer IP","Masquer l'adresse IP du Client",module,Magento_Sales
"hold","Bloquer",module,Magento_Sales
"Hold","Bloquer",module,Magento_Sales
"Home","Accueil",module,Magento_Sales
"ID","ID",module,Magento_Sales
"Identifying Fields required","Les champs sont obligatoires",module,Magento_Sales
"Id required","ID obligatoire",module,Magento_Sales
"ID required","ID obligatoire",module,Magento_Sales
"If the invoice was created offline, try creating an offline credit memo.","Si la facture a été créée hors ligne, essayez de créer un avoir hors ligne.",module,Magento_Sales
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Si vous avez des questions concernant votre commande, vous pouvez nous envoyer un email à <a href=""mailto:%store_email"">%store_email</a>",module,Magento_Sales
"Incl. Tax","TTC",module,Magento_Sales
"Include Tax to Amount","Inclure les taxes au montant",module,Magento_Sales
"Information","Informations",module,Magento_Sales
"Invalid parent block for this block","Block parent invalide pour ce block",module,Magento_Sales
"Invoice #%1","Facture #%1",module,Magento_Sales
"Invoice #%1 comment added","Commentaire ajouté à la facture #%1",module,Magento_Sales
"Invoice #%1 created","Facture #%1 créée",module,Magento_Sales
"Invoice #%1 | %2 | %4 (%3)","Facture #%1 | %2 | %4 (%3)",module,Magento_Sales
"Invoice #","Facture #",module,Magento_Sales
"Invoice # ","Facture # ",module,Magento_Sales
"Invoice","Facture",module,Magento_Sales
"Invoice and Packing Slip Design","Design de facture et de bordereau de livraison",module,Magento_Sales
"Invoice and Ship","Facturer et expédier",module,Magento_Sales
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","Les types de facture et d'expédition ne correspondent pas à certains articles de cette commande. Vous pouvez créer l'expédition uniquement après avoir créer une facture.",module,Magento_Sales
"Invoice canceling error","Erreur lors de l'annulation de la facture",module,Magento_Sales
"Invoice capturing error","Erreur lors de la capture de la facture",module,Magento_Sales
"Invoice Comment Email Sender","Expéditeur du mail de commentaire de facture",module,Magento_Sales
"Invoice Comment Email Template","Gabarit de mail commentaire de facture",module,Magento_Sales
"Invoice Comment Email Template for Guest","Gabarit de mail de commentaire de facture pour un invité",module,Magento_Sales
"Invoice Comments","Commentaires de facture",module,Magento_Sales
"Invoiced","Facturé",module,Magento_Sales
"Invoice Date","Date de facturation",module,Magento_Sales
"Invoice Email Sender","Expéditeur du mail de facture",module,Magento_Sales
"Invoice Email Template","Gabarit mail de facture",module,Magento_Sales
"Invoice Email Template for Guest","Gabarit de mail de facture pour un invité",module,Magento_Sales
"Invoice History","Historique de la facture",module,Magento_Sales
"Invoices","Factures",module,Magento_Sales
"Invoice Totals","Totaux de la facture",module,Magento_Sales
"Invoice voiding error","Error lors de l'annulation de la facture",module,Magento_Sales
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo.","IPN ""Remboursement"". Rembourssement émis par le marchand. Notification sauvegardée concerant le montant remboursé de %1. ID de transaction : ""%2"". L'avoir n'a pas été créé. Veuillez créer un avoir hors ligne.",module,Magento_Sales
"Is Closed","Est fermé",module,Magento_Sales
"Item","article",module,Magento_Sales
"Item ordered qty","Qté commandée",module,Magento_Sales
"Items","articles",module,Magento_Sales
"Items Invoiced","Articles facturés",module,Magento_Sales
"Items Ordered","Articles commandés",module,Magento_Sales
"Items Refunded","Articles remboursés",module,Magento_Sales
"Items Shipped","Articles expédiés",module,Magento_Sales
"Item Status","Statut",module,Magento_Sales
"Items to Refund","Articles à rembourser",module,Magento_Sales
"Key","Clé",module,Magento_Sales
"Last Name","Nom",module,Magento_Sales
"Last Ordered Items","Derniers Articles Commandés",module,Magento_Sales
"Leave this box blank if you don't want to leave a gift message for the entire order.","Laisser ce champ vide si vous ne voulez pas laisser un message cadeau pour toute la commande.",module,Magento_Sales
"Link to the New Order","Lien vers la nouvelle commande",module,Magento_Sales
"Link to the Previous Order","Lien vers la commande précédente",module,Magento_Sales
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo pour les documents HTML uniquement. Si vide, la valeur par défaut sera utilisée.<br />(jpeg, gif, png)",module,Magento_Sales
"Logo for HTML Print View","Logo pour l'aperçu avant impression HTML",module,Magento_Sales
"Logo for PDF Print-outs (200x50)","Logo pour les impressions PDF (200x50)",module,Magento_Sales
"Maximum shipping amount allowed to refund is: %1","Montant maximum des expéditions permettant le remboursement: %1",module,Magento_Sales
"Memo Total","Total de l'Avoir",module,Magento_Sales
"Message","Message",module,Magento_Sales
"Message:","Message:",module,Magento_Sales
"Minimum Amount","Montant minimum",module,Magento_Sales
"Minimum Order Amount","Montant de commande minimum",module,Magento_Sales
"Mixed","Mixte",module,Magento_Sales
"Move to Shopping Cart","Placer dans le panier",module,Magento_Sales
"Move to Wish List","Ajouter à la liste d'envies",module,Magento_Sales
"Move to Wishlist","Ajouter à la liste d'envies",module,Magento_Sales
"Multi-address Description Message","Message de description multi-adresse",module,Magento_Sales
"Multi-address Error to Show in Shopping Cart","Erreur multi-adresse à afficher dans le panier",module,Magento_Sales
"My Orders","Mes commandes",module,Magento_Sales
"N/A","N/A",module,Magento_Sales
"%name,","%name,",module,Magento_Sales
"Name","Nom",module,Magento_Sales
"New","Nouveau",module,Magento_Sales
"New Credit Memo for Invoice #%1","Nouvel avoir pour la facture #%1",module,Magento_Sales
"New Credit Memo for Order #%1","Nouvel avoir pour la facture #%1",module,Magento_Sales
"New Invoice","Nouvelle facture",module,Magento_Sales
"New Invoice and Shipment for Order #%1","Nouvelles facture et expédition pour la commande n°%1",module,Magento_Sales
"New Invoice for Order #%1","Nouvelle facture pour la commande n°%1",module,Magento_Sales
"New Memo","Nouvel Avoir",module,Magento_Sales
"New Memo for #%1","Nouvel avoir pour #%1",module,Magento_Sales
"New Order","Nouvelle Commande",module,Magento_Sales
"New Order Confirmation Email Sender","Expéditeur du mail de confirmation de commande",module,Magento_Sales
"New Order Confirmation Template","Gabarit de confirmation de nouvelle commande",module,Magento_Sales
"New Order Confirmation Template for Guest","Gabarit de confirmation de nouvelle commande pour un invité",module,Magento_Sales
"New Order RSS","Flux RSS des nouvelles commandes",module,Magento_Sales
"New Orders","Nouvelles commandes",module,Magento_Sales
"New Order Status","Statut de la Nouvelle Commande",module,Magento_Sales
"Newsletter Subscription","Abonnement à la newsletter",module,Magento_Sales
"No","Non",module,Magento_Sales
"No Items","Aucun article",module,Magento_Sales
"No items","Aucun article",module,Magento_Sales
"No Items To Refund","Aucun article à rembourser",module,Magento_Sales
"No ordered items","Aucun article commandé",module,Magento_Sales
"No order(s) were put on hold.","Aucune commande n'a été bloquée.",module,Magento_Sales
"No order(s) were released from on hold status.","Aucune commande débloquée.",module,Magento_Sales
"No Payment Methods","Aucun mode de paiement",module,Magento_Sales
"No shipping information available","Aucune information de livraison disponible",module,Magento_Sales
"Not Capture","Pas de Capture",module,Magento_Sales
"Notes for this Order","Notes pour cette commande",module,Magento_Sales
"Notification Not Applicable","Notification non-applicable",module,Magento_Sales
"Notified","Notifié",module,Magento_Sales
"Notified Date: %1","Date de notification : %1",module,Magento_Sales
"Notify Customer by Email","Avertir le client par email",module,Magento_Sales
"Not Notified","Non notifié",module,Magento_Sales
"Number","Numéro",module,Magento_Sales
"Ok","Ok",module,Magento_Sales
"Once your package ships we will send an email with a link to track your order.","Lorsque votre colis sera prêt nous vous enverrons un email contenant un lien de suivi commande.",module,Magento_Sales
"Once your package ships we will send you a tracking number.","Un numéro de suivi vous sera envoyé lorsque votre commande sera expédiée.",module,Magento_Sales
"On Hold","Bloquée",module,Magento_Sales
"Operations","Operations",module,Magento_Sales
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","ou nous contacter par téléphone au <a href=""tel:%store_phone"">%store_phone</a>",module,Magento_Sales
"Order #%1","Commande #%1",module,Magento_Sales
"Order # %1","Commande #%1",module,Magento_Sales
"Order #%1 created at %2","Commande #%1 créée le %2",module,Magento_Sales
"Order # %1 Notification(s)","Notification(s) commande #%1",module,Magento_Sales
"Order # %1 %2 | %3","Commande # %1 %2 | %3",module,Magento_Sales
"Order # ","Commande # ",module,Magento_Sales
"Order","Commande",module,Magento_Sales
"Order #","Commande #",module,Magento_Sales
"Order & Account Information","Commande & Information de compte",module,Magento_Sales
"Order Address Information","Informations d'adresse de commande",module,Magento_Sales
"Order Comment","Commentaire de la commande",module,Magento_Sales
"Order Comment Email Sender","Expéditeur du mail de commentaire de commande",module,Magento_Sales
"Order Comment Email Template","Gabarit de mail de commentaire de commande",module,Magento_Sales
"Order Comment Email Template for Guest","Gabarit de mail de commentaire de commande pour un invité",module,Magento_Sales
"Order Comments","Commentaires de commande",module,Magento_Sales
"Order Credit Memos","Avoirs de la commande",module,Magento_Sales
"Order Currency:","Devise de la commande:",module,Magento_Sales
"Order Date (%1)","Date de commande (%1)",module,Magento_Sales
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Date de commande:</span> %1",module,Magento_Sales
"Order Date: %1","Date de commande: %1",module,Magento_Sales
"Order Date: ","Date de commande: ",module,Magento_Sales
"Order Date","Date de commande",module,Magento_Sales
"Ordered","Commandé",module,Magento_Sales
"Ordered amount of %1","Montant commandé de %1",module,Magento_Sales
"Order Grand Total","Montant global",module,Magento_Sales
"order-header","order-header",module,Magento_Sales
"Order History","Historique Commande",module,Magento_Sales
"Order ID","ID Commande",module,Magento_Sales
"Order Information","Informations commande",module,Magento_Sales
"Order Invoices","Factures de la commande",module,Magento_Sales
"Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Commande suspendue car l’autorisation du montant de %1 est suspectée d'être frauduleuse.",module,Magento_Sales
"Order is suspended as its capture amount %1 is suspected to be fraudulent.","La commande est suspendue car le montant de capture %1 pourrait être frauduleux.",module,Magento_Sales
"Orders","Commandes",module,Magento_Sales
"Orders and Returns","Commandes et retours",module,Magento_Sales
"Orders and Returns Search Form","Formulaire de recherche de commandes et retours",module,Magento_Sales
"Order saving error: %1","Erreur lors de la sauvegarde de la commande: %1",module,Magento_Sales
"Orders Cron Settings","Paramètres du CRON des commandes",module,Magento_Sales
"Order Shipments","Livraisons de la commande",module,Magento_Sales
"Order State","État de commande",module,Magento_Sales
"Order Status","Statut de la Commande",module,Magento_Sales
"Order Statuses","Statuts de commande",module,Magento_Sales
"Order Status Information","Informations du statut de commande",module,Magento_Sales
"Order Total","Total de la commande",module,Magento_Sales
"Order Totals","Totaux commande",module,Magento_Sales
"Order View","Vue de commande",module,Magento_Sales
"Original Price","Prix d'origine",module,Magento_Sales
"Our hours are <span class=""no-link"">%store_hours</span>.","Heures d'ouverture <span class=""no-link"">%store_hours</span>.",module,Magento_Sales
"Packing Slip # ","Bordereau de livraison # ",module,Magento_Sales
"Paid","Payée",module,Magento_Sales
"Paid Amount","Montant réglé",module,Magento_Sales
"Parent Transaction ID","ID de transaction principale",module,Magento_Sales
"Partial","Partiel",module,Magento_Sales
"Path ""%1"" is not part of allowed directory ""%2""","Le chemin ""%1"" ne fait pas partie du répertoire autorisé ""%2""",module,Magento_Sales
"Payment &amp; Shipping Information","Paiement &amp; information de livraison",module,Magento_Sales
"Payment &amp; Shipping Method","Paiement &amp; méthode de livraison",module,Magento_Sales
"Payment Information","Informations de paiement",module,Magento_Sales
"Payment Method","Mode de paiement",module,Magento_Sales
"Payment Method:","Mode de paiement:",module,Magento_Sales
"Payment Review","Vérification du paiement",module,Magento_Sales
"Payment transactions disallow storing objects.","Les transactions de paiement rejettent de stocker des objets.",module,Magento_Sales
"PDF Credit Memos","Avoirs en PDF",module,Magento_Sales
"PDF Creditmemos","Avoirs en PDF",module,Magento_Sales
"PDF Invoices","Factures en PDF",module,Magento_Sales
"PDF Print-outs","Impressions PDF",module,Magento_Sales
"PDF Shipments","PDF des Expéditions",module,Magento_Sales
"Pending","En attente",module,Magento_Sales
"Pending Payment","En attente de paiement",module,Magento_Sales
"Pending Payment Order Lifetime (minutes)","Durée de vie des commande en attente de paiement (minutes)",module,Magento_Sales
"Phone","Téléphone",module,Magento_Sales
"Phone Number","Numéro de téléphone",module,Magento_Sales
"Placed from IP","Adresse IP",module,Magento_Sales
"Placed on <span class=""no-link"">%created_at</span>","Passée le <span class=""no-link"">%created_at</span>",module,Magento_Sales
"Please correct the parent block for this block.","Veuillez corriger le bloc parent de ce bloc.",module,Magento_Sales
"Please correct the transaction ID and try again.","Veuillez corriger l'identifiant de la transaction et essayez à nouveau.",module,Magento_Sales
"Please define the PDF object before using.","Veuillez définir un objet PDF avant de l'utiliser.",module,Magento_Sales
"Please enter a comment.","Veuillez saisir un commentaire.",module,Magento_Sales
"Please enter a positive number in this field.","Veuillez renseigner un nombre positif dans ce champ.",module,Magento_Sales
